ScaledForward,scaledLeftRightRatio,ScaledSpeed,isTurningLeft,isTurningRight,isKeepingStraight,isAccelerating
26.39008,0.4667973,1.797331,0,0,1,1
26.27088,0.4650324,3.603037,0,0,1,1
26.02386,0.4599748,5.254883,0,0,1,1
25.68629,0.4527004,7.042486,0,0,1,1
25.45945,0.4478635,8.782756,0,0,1,1
24.91541,0.436455,10.33206,0,0,1,1
24.40643,0.4278159,11.80601,0,1,0,1
24.67543,0.4771928,13.22687,0,0,1,1
23.90488,0.4669369,14.83016,0,0,1,1
24.06877,0.5068991,16.08342,0,0,1,1
23.51926,0.5111998,17.4503,0,1,0,1
23.9512,0.5345031,18.66899,0,0,1,1
23.47194,0.533524,20.03052,0,0,1,1
22.24831,0.512419,21.49979,0,0,1,1
21.05371,0.4918397,22.47736,0,0,1,1
19.6144,0.2500755,24.49137,0,0,1,1
19.27875,0.2548322,25.09768,0,1,0,1
19.52978,0.2619125,26.11154,0,1,0,1
19.97116,0.2741932,27.32365,0,1,0,1
23.50967,0.5654732,28.10377,0,0,1,1
23.36399,0.5193873,29.50753,0,0,1,1
23.18946,0.4503775,30.57366,0,0,1,1
24.48803,0.4526349,31.32274,0,0,1,1
23.34743,0.3908007,33.0467,0,0,1,1
35.75866,0.4181217,33.35476,0,0,1,1
32.75662,0.4321045,34.00199,0,1,0,1
25.54614,0.4982131,35.08929,0,0,1,1
21.52236,0.5150405,36.11573,0,0,1,1
18.96385,0.5020382,37.31352,0,0,1,1
16.46634,0.499184,38.29927,0,0,1,1
13.73024,0.8712081,39.24968,0,0,1,1
11.9276,0.8863364,39.83322,1,0,0,1
13.12116,0.7824872,40.39572,0,0,1,1
14.34997,0.6971667,40.72947,1,0,0,1
17.44538,0.6468549,41.2511,1,0,0,1
21.91249,0.6040012,41.76728,0,0,1,1
29.20877,0.5897388,42.63573,0,0,1,1
35.81295,0.5871119,42.85387,0,0,1,1
40.94156,0.5040491,43.68973,0,0,1,1
39.71275,0.4961116,44.59099,0,0,1,1
36.4336,0.5847241,45.5049,0,0,1,1
36.19207,0.6368639,45.87453,1,0,0,1
40.69889,0.5782986,46.52103,0,0,1,1
67.7641,0.5502268,46.78494,1,0,0,1
55.13994,0.3784804,47.31084,0,0,1,1
47.58975,0.3681517,48.11343,0,0,1,1
43.94163,0.3885848,48.85814,0,0,1,1
45.84989,0.4639546,49.05196,0,0,1,1
49.74963,0.578618,49.87325,0,0,1,1
48.49353,0.6153185,50.46917,1,0,0,1
42.64753,0.6021385,50.53397,0,0,1,1
28.86865,0.4977981,51.25842,0,0,1,1
24.38127,0.2111983,51.97138,0,0,1,1
20.96652,0.2023156,52.44645,0,1,0,1
