ScaledForward,scaledLeftRightRatio,ScaledSpeed,isTurningLeft,isTurningRight,isKeepingStraight,isAccelerating
26.38027,0.5192351,1,1.856706,0,0,1
26.23983,0.5197112,1,3.701893,0,0,1
25.99552,0.520231,1,5.395648,0,0,1
26.05974,0.524553,1,7.104279,0,1,0
26.53337,0.5394881,1,8.806746,0,0,1
26.18737,0.5439652,1,10.37671,0,1,0
26.36949,0.5580304,1,11.79324,0,0,1
26.27059,0.5705361,1,13.27162,0,0,1
26.04389,0.5833657,1,14.48327,0,0,1
25.97419,0.6007578,1,16.01199,0,0,1
25.10101,0.6106787,1,17.41661,0,0,1
24.1868,0.6201156,1,18.96668,0,0,1
24.28201,0.6374633,1,20.12142,0,0,1
23.90489,0.6506605,1,21.10069,0,0,1
23.42817,0.6549201,1,22.50621,0,0,1
23.05874,0.6739956,1,23.345,0,0,1
23.70889,0.708608,1,24.92334,0,0,1
22.42228,0.7048452,1,26.3828,0,0,1
21.01726,0.6890726,1,27.43994,0,0,1
19.4623,0.6707673,1,28.48177,0,0,1
17.86586,0.6500347,1,29.64261,0,0,1
16.95597,0.6373625,1,30.86811,0,1,0
17.5319,0.6340243,1,31.5248,0,0,1
19.03858,0.627088,1,32.40472,0,1,0
40.41599,0.6146697,1,33.22334,0,0,1
33.84917,0.5767735,1,33.94622,0,0,1
29.95045,0.5389953,0,34.73004,0,1,0
27.05077,0.5376024,1,33.98965,0,0,1
23.96163,0.5111297,1,30.95857,0,0,1
21.61258,0.4807932,1,31.39326,0,1,0
17.61977,0.4864302,1,32.72518,0,0,1
15.22892,0.4726233,1,34.22861,0,0,1
13.46517,0.4455324,1,35.11909,1,0,0
12.70036,0.4036224,0,30.62621,1,0,0
12.94576,0.3986729,1,29.87811,1,0,0
14.16524,0.3722174,1,31.27144,0,0,1
12.92129,0.4187383,1,32.35371,1,0,0
14.78365,0.4618923,1,33.90199,1,0,0
28.56019,0.4381691,1,35.00336,0,0,1
39.90786,0.4303217,1,31.95362,1,0,0
46.52945,0.3962786,1,31.46717,0,0,1
48.87693,0.3825796,1,33.1785,0,0,1
46.77241,0.3785267,1,34.33817,0,0,1
39.17794,0.409124,1,35.75346,0,0,1
36.21352,0.4204358,1,36.83377,0,0,1
33.85828,0.4299393,1,38.2053,0,0,1
31.57191,0.4444895,1,39.55312,0,0,1
29.20693,0.5222051,1,41.29716,0,0,1
29.64384,0.5547528,1,41.82762,1,0,0
64.01703,0.5293588,1,43.04646,0,0,1
61.45749,0.5255011,1,43.95014,0,0,1
56.10121,0.4975272,1,44.93894,1,0,0
46.55407,0.4643085,1,45.97428,0,1,0
43.81333,0.4554964,1,46.97324,0,0,1
37.82153,0.4518229,0,46.81633,0,0,1
31.34681,0.4424662,1,42.80858,0,0,1
28.1755,0.4435946,1,40.6548,0,0,1
25.42185,0.4454154,1,38.90414,0,0,1
24.35372,0.4460824,1,36.64145,0,0,1
22.5352,0.4537313,0,34.66241,0,0,1
20.88673,0.4604738,0,33.71313,0,0,1
19.53591,0.4727799,1,29.77901,0,0,1
19.76302,0.5020169,1,28.81565,0,0,1
20.09659,0.501559,1,29.59669,0,1,0
21.21538,0.4903727,1,25.56739,0,1,0
25.24084,0.484406,1,27.36581,0,1,0
25.5606,0.4742775,0,26.44923,0,0,1
25.06296,0.4708757,1,24.96671,0,0,1
24.39874,0.4684139,1,26.49249,0,0,1
23.84401,0.4652208,1,28.024,0,0,1
23.07468,0.4676841,1,29.61229,0,0,1
21.42201,0.4576592,1,30.64293,0,1,0
20.53439,0.4660955,1,32.02523,0,0,1
18.77102,0.4629806,1,33.45995,0,0,1
17.36177,0.4707943,1,35.01162,0,0,1
16.42536,0.4981724,1,35.72984,0,1,0
17.07967,0.5568191,1,36.86073,0,0,1
16.72261,0.5179295,1,38.3714,0,0,1
15.95828,0.4229014,1,38.9543,0,0,1
15.24075,0.3880346,1,40.2057,0,1,0
15.05994,0.3644817,1,41.01422,0,1,0
16.82184,0.3754672,1,42.06104,0,0,1
17.28255,0.3704526,1,42.69734,0,0,1
18.20569,0.37837,1,43.20032,0,1,0
27.65028,0.3932243,1,44.21258,0,0,1
39.5172,0.3941802,1,44.88373,0,1,0
52.94889,0.4086626,1,45.76954,0,1,0
54.79695,0.4332746,1,46.61437,0,0,1
54.50232,0.4306078,1,47.3181,0,1,0
56.28781,0.4492548,1,48.43352,0,0,1
55.5183,0.4593313,0,48.88078,0,0,1
53.2554,0.4671113,1,46.13425,0,1,0
53.38489,0.4892826,1,47.12855,0,0,1
52.04366,0.5093419,1,47.8875,1,0,0
44.25804,0.4950536,0,48.97943,0,0,1
40.51104,0.4929981,1,44.285,0,0,1
38.66293,0.4937752,1,41.77439,1,0,0
34.87688,0.4825059,1,40.94315,0,1,0
31.1176,0.4672784,1,41.60395,0,0,1
29.68822,0.4743757,0,42.42556,0,0,1
27.88056,0.4787741,0,36.27562,0,0,1
28.27062,0.5039641,1,33.40171,0,0,1
29.6566,0.5378801,1,29.33212,0,0,1
30.9036,0.5704111,1,27.65284,0,0,1
28.80468,0.5713841,1,26.68721,0,0,1
28.45251,0.5478174,1,27.76898,0,0,1
27.01487,0.4982433,1,28.76375,1,0,0
22.65361,0.4200643,1,30.15727,0,0,1
21.37413,0.3877843,1,31.82705,0,1,0
20.91305,0.3509818,1,33.11506,0,0,1
21.8483,0.3254976,1,33.85342,0,1,0
26.7067,0.324457,1,34.95052,0,1,0
26.12765,0.3270218,1,36.04292,0,0,1
25.39169,0.3286609,1,37.23678,0,0,1
25.23598,0.34411,1,38.02294,0,0,1
25.60765,0.3706772,1,38.7758,0,0,1
25.4936,0.3808293,1,39.61616,0,1,0
26.24059,0.4178905,1,40.60523,0,1,0
27.24506,0.4641514,1,41.9362,0,0,1
