ScaledForward,scaledLeftRightRatio,ScaledSpeed,isTurningLeft,isTurningRight,isKeepingStraight,isAccelerating
26.39608,0.5194398,1.469114,0,0,1,1
26.33905,0.5196293,3.332337,0,0,1,1
26.13546,0.5201386,5.159088,0,0,1,1
25.83756,0.520742,6.977175,0,0,1,1
25.43919,0.5215246,8.562201,0,0,1,1
24.88928,0.5225794,10.27004,0,0,1,1
24.2815,0.5237609,11.94163,0,0,1,1
23.50808,0.5253306,13.5765,0,0,1,1
22.66532,0.5268583,11.70406,0,0,1,0
22.09645,0.5225489,12.82693,0,0,1,1
20.62245,0.5100008,14.83289,0,0,1,1
19.57492,0.5080734,16.80824,0,0,1,1
18.83577,0.5139234,18.30678,0,0,1,1
17.96314,0.5228697,20.21214,0,0,1,1
17.02708,0.52981,21.25851,0,0,1,1
16.14352,0.5169892,23.49103,0,0,1,1
13.99527,0.4754815,24.72778,0,0,1,1
12.9811,0.4534392,25.84752,0,1,0,1
11.97914,0.4437538,27.55312,0,1,0,1
11.54505,0.454809,28.72527,0,1,0,1
11.71021,0.4397856,30.25601,0,1,0,1
12.43544,0.4278467,31.42487,0,1,0,1
13.86473,0.4232225,28.87078,0,1,0,1
15.56627,0.3952257,29.29239,0,1,0,1
21.47382,0.4280971,30.93994,0,1,0,1
35.06602,0.4439218,31.88303,0,1,0,1
27.76332,0.4740843,33.25021,0,0,1,1
24.75876,0.4715321,28.6124,0,1,0,1
21.75018,0.4865376,30.42366,0,0,1,1
19.54079,0.4897414,26.72769,0,0,1,0
18.53669,0.4764594,21.58597,0,0,1,1
17.30235,0.4724701,22.4717,0,1,0,1
15.91539,0.4862612,23.6519,0,0,1,1
14.05332,0.494217,25.5384,1,0,0,1
13.28005,0.473547,26.86835,0,0,1,1
12.00653,0.4538729,28.35295,0,0,1,1
10.28566,0.4438818,30.26466,0,0,1,1
8.490754,0.478931,31.24239,1,0,0,1
8.611662,0.5437879,32.85786,0,0,1,1
8.333317,0.5839276,33.98686,1,0,0,1
9.153049,0.6348121,34.74107,1,0,0,1
15.34387,0.6264758,36.34986,1,0,0,1
40.28605,0.5734025,37.04563,1,0,0,1
51.30682,0.5188505,38.04724,0,0,1,1
47.59852,0.5130074,39.82946,0,0,1,1
45.1522,0.4990033,40.93768,0,0,1,1
42.55743,0.4807904,42.59093,0,0,1,1
41.45147,0.4726986,43.78937,0,0,1,1
38.99677,0.4611519,45.0464,0,0,1,1
37.48481,0.5080251,45.81821,0,0,1,1
63.82314,0.4939168,46.81068,1,0,0,1
54.17422,0.4540883,47.84263,0,0,1,1
46.72499,0.4299645,48.94098,0,0,1,1
42.80158,0.4145425,50.14036,0,0,1,1
39.06391,0.411213,51.32553,0,0,1,1
35.96537,0.414575,52.12116,0,0,1,1
30.04021,0.4125171,53.16094,0,0,1,0
25.91646,0.4168468,49.60275,0,0,1,1
23.88072,0.43132,49.01167,0,0,1,0
23.13113,0.4583643,45.64331,0,0,1,0
20.80325,0.4773033,40.68421,0,0,1,1
18.66446,0.4932885,38.45702,0,0,1,1
16.39761,0.4299499,36.04028,0,1,0,1
16.45955,0.4071943,34.94463,0,0,1,0
18.61358,0.3864181,33.76807,0,1,0,1
23.33838,0.3946501,32.41061,0,1,0,1
23.01816,0.3991604,31.48516,0,0,1,0
22.52154,0.4049023,29.44234,0,0,1,0
22.35389,0.4237792,27.71556,0,0,1,0
20.87513,0.4232883,26.92921,0,0,1,1
18.61103,0.4124574,28.83512,0,1,0,1
18.15349,0.4353209,30.21029,0,0,1,1
17.33693,0.4397573,31.33054,0,0,1,1
15.3013,0.4448234,33.40947,0,0,1,1
13.34626,0.4218736,34.12743,0,1,0,1
12.89585,0.4100333,35.22936,0,1,0,1
13.52327,0.3663609,36.58835,0,1,0,1
15.6458,0.3607571,37.3079,0,1,0,1
17.3708,0.3696624,38.88503,0,0,1,1
19.35515,0.3802861,39.41822,0,0,1,1
20.35314,0.3865219,40.06833,0,0,1,1
22.60154,0.4043964,41.78167,0,1,0,1
25.00142,0.4073345,42.24504,0,0,1,1
33.38186,0.4064271,42.87108,0,1,0,1
55.32111,0.4383677,44.19778,0,0,1,1
54.73112,0.4527819,45.38786,0,0,1,1
54.52166,0.4564339,46.24499,0,0,1,1
53.30471,0.4541002,47.51058,0,0,1,1
52.21436,0.4483835,48.64045,1,0,0,1
47.34243,0.4256994,49.44689,0,1,0,1
43.38979,0.4073313,48.93062,0,0,1,0
41.64685,0.4069076,42.97136,0,1,0,1
44.39066,0.4442133,43.54838,0,0,1,1
